Miejscowość             Długość        Szerokość
Brzeźnica (zielonogór.) 15°24'E        51°43'N
Brzeźnio                18°38'E        51°30'N
Brzeźno                 15°47'E        53°42'N
Brzeżany                24°56'E        49°27'N
Brzostek                21°25'E        49°53'N
Brzozie                 19°36'E        53°19'N
Brzozów                 22°02'E        49°42'N
Brzuze                  19°15'E        53°03'N
Brzyska                 21°23'E        49°49'N
Buczacz                 25°23'E        49°04'N
Buczek                  19°10'E        51°30'N
Budry                   21°53'E        54°15'N
Budzów                  19°41'E        49°47'N
Budzyń                  16°59'E        52°54'N
Buk                     16°31'E        52°22'N
Bukowiec                18°14'E        53°26'N
Bukowina Tatrzańska     20°06'E        49°20'N
Bukowno                 19°26'E        50°16'N
Bukowsko                22°03'E        49°29'N
Bulkowo                 20°07'E        52°33'N
Burzenin                18°50'E        51°27'N
Busko Zdrój             20°48'E        50°28'N
Bychawa                 22°33'E        51°01'N
Byczyna                 18°13'E        51°07'N
Bydgoszcz               18°00'E        53°07'N
Bystrzyca Kłodzka       16°38'E        50°18'N
Bytnica                 15°09'E        52°09'N
Bytom                   18°54'E        50°23'N
Bytom Odrzański         15°50'E        51°44'N
Bytoń                   18°35'E        52°34'N
Bytów                   17°30'E        54°10'N
Cedry Wielkie           18°51'E        54°15'N
Cedynia                 14°12'E        52°53'N
Cegłów                  21°44'E        52°09'N
Cekcyn                  18°01'E        53°35'N
Ceków-Kolonia           18°18'E        51°53'N
Celestynów              21°23'E        52°03'N
Ceranów                 22°14'E        52°38'N
Cewice                  17°44'E        54°27'N
Charsznica              19°56'E        50°25'N
Chąśno                  19°56'E        52°11'N
Chełm                   23°29'E        51°08'N
Chełmek                 19°14'E        50°06'N
Chełmiec                20°40'E        49°38'N
Chełmno                 18°26'E        53°21'N
Chełmża                 18°36'E        53°12'N
Chęciny                 20°27'E        50°48'N
Chlewiska               20°46'E        51°15'N
Chłopice                22°41'E        49°57'N
Chmielnik               20°45'E        50°37'N
Chmielnik Rzeszowski    22°07'E        49°59'N
Chmielno                18°06'E        54°20'N
Choceń                  19°01'E        52°30'N
Chocianów               15°54'E        51°25'N
Chociwel                15°19'E        53°27'N
Chocz                   17°53'E        51°58'N
Choczewo                17°53'E        54°45'N
Chodecz                 19°02'E        52°24'N
Chodel                  22°08'E        51°07'N
Chodów                  19°02'E        52°15'N
Chodzież                16°55'E        52°59'N
Chojna                  14°25'E        52°58'N
Chojnice                17°33'E        53°42'N
Chojnów                 15°56'E        51°17'N
Choreszcz               22°59'E        53°09'N
Chorkówka               21°41'E        49°39'N
Choroszcz               22°59'E        53°09'N
Chorzele                20°53'E        53°16'N
Chorzów                 18°57'E        50°18'N
Choszczno               15°24'E        53°10'N
Chotcza                 21°45'E        52°14'N
Chrostkowo              19°15'E        53°57'N
Chrzanów (katowickie)   19°24'E        50°08'N
Chrzanów (tarnobrzeskie)22°36'E        50°46'N
Chrząstowice            18°04'E        50°40'N
Chrzypsko Wielkie       16°14'E        52°38'N
Chybie                  18°49'E        49°54'N
Chynów                  21°05'E        51°54'N
Ciasna                  18°37'E        50°46'N
Ciechanowiec            22°30'E        52°41'N
Ciechanów               20°38'E        52°52'N
Ciechocin               18°56'E        53°04'N
Ciechocinek             18°47'E        52°53'N
Cielądz                 20°21'E        51°43'N
Ciepielów               21°35'E        51°15'N
Ciepłowody              16°55'E        50°41'N
Cieplice Śląskie-Zdrój  15°41'E        50°52'N
Cieszanów               23°08'E        50°14'N
Cieszków                17°22'E        51°38'N
Cieszyn                 18°38'E        49°45'N
Ciężkowice              20°58'E        49°48'N
Cisek                   18°13'E        50°17'N
Cisna                   22°20'E        49°13'N
Cmolas                  21°45'E        50°18'N
Cybinka                 14°48'E        52°12'N
Cyców                   23°08'E        51°18'N
Czajków                 18°21'E        51°29'N
Czaplinek               16°14'E        53°33'N
Czarna (krośnieńskie)   22°41'E        49°19'N
Czarna (tarnowskie)     21°15'E        50°04'N
Czarna (rzeszowskie)    22°12'E        50°07'N
Czarna Białostocka      23°18'E        53°18'N
Czarna Dąbrówka         17°34'E        54°22'N
Czarne                  16°56'E        53°42'N
Czarnia                 21°11'E        53°21'N
Czarnków                16°34'E        52°54'N
Czarnocin (kieleckie)   20°31'E        50°21'N
Czarnocin (piotrkowskie)19°41'E        51°35'N
Czrnożyły               18°34'E        51°17'N
Czarny Bór              16°07'E        50°46'N
Czarny Dunajec          19°52'E        49°27'N
Czastary                18°20'E        51°16'N
Czchów                  20°41'E        49°50'N
Czechowice-Dziedzice    19°01'E        49°50'N
Czemierniki             22°38'E        51°41'N
Czempiń                 16°45'E        52°08'N
Czeremcha               23°21'E        52°31'N
Czermin (rzeszowskie)   21°20'E        50°20'N
Czermin (kaliskie)      17°45'E        51°57'N
Czernica                17°15'E        51°03'N
Czernice Borowe         20°43'E        53°02'N
Czernichów              19°41'E        49°59'N
Czerniejewo             17°29'E        52°26'N
Czerniewice             20°10'E        51°39'N
Czernikowo              18°56'E        52°57'N
Czersk                  17°58'E        53°48'N
Czerwieńsk              15°26'E        52°01'N
Czerwin                 21°46'E        52°57'N
Czerwińsk nad Wisłą     20°18'E        52°23'N
Czerwonak               16°59'E        52°28'N
Czerwonka               21°12'E        52°53'N
Częstochowa             19°07'E        50°48'N
Człopa                  16°06'E        53°05'N
Człuchów                17°21'E        53°41'N
Czorsztyn               20°19'E        49°26'N
Czosnów                 20°43'E        52°24'N
Czudec                  21°51'E        49°57'N
Czyże                   23°26'E        52°47'N
Czyżew-Osada            22°18'E        52°48'N
Ćmielów                 21°31'E        50°54'N
Daleszyce               20°48'E        50°48'N
Dalików                 19°06'E        51°53'N
Damasławek              17°30'E        52°50'N
Damnica                 17°17'E        54°30'N
Darłowo                 16°24'E        54°25'N
Daszyna                 19°11'E        52°09'N
Dawidgródek             27°14'E        52°03'N
Dąbie (konińskie)       18°49'E        52°05'N
Dąbie (zielonogórskie)  15°10'E        52°01'N
Dąbrowa (opolskie)      17°45'E        50°41'N
Dąbrowa (bydgoskie)     17°57'E        52°44'N
Dąbrowa Białostocka     23°21'E        53°39'N
Dąbrowa Biskupia        18°32'E        52°47'N
Dąbrowa Chełmińska      18°18'E        53°11'N
Dąbrowa Górnicza        19°16'E        50°19'N
Dąbrowa Tarnowska       20°59'E        50°11'N
Dąbrowa Zielona         19°33'E        50°51'N
Dąbrowice               19°05'E        52°19'N
Dąbrówka                21°17'E        52°29'N
Dąbrówno                20°03'E        53°26'N
Debrzno                 17°14'E        53°33'N
Deszczno                15°18'E        52°40'N
Dębe Wielkie            21°26'E        52°12'N
Dębica                  21°25'E        50°03'N
Dęblin                  21°52'E        51°34'N
Dębnica Kaszubska       17°10'E        54°23'N
Dębno (tarnowskie)      20°43'E        49°58'N
Dębno (gorzowskie)      14°42'E        52°44'N
Dębowa Kłoda            23°01'E        51°36'N
